12766	30888926	8
12849	24757475	4
12911	31892165	12
12912	29606799	24
12914	28103899	14
13172	21520098	6
13173	22954758	16
13175	23315042	12
13177	23705378	18682
13178	20577663	23072
13179	19987405	13100
13183	21788931	17064
13578	29796340	41384
13580	23844723	22322
13581	23657831	20638
13582	24118315	90998
13583	23076769	18742
15668	33281586	598392
15669	27747339	327540
15670	29778933	408742
15671	28891686	28226
15672	25792842	45490
15673	26089064	48998
15674	24899029	11088
15675	22169527	15312
16150	29600208	265518
16151	29461471	322320
16292	28035527	724076
16293	23410115	170128
20681	20452737	658402
20682	22074422	182402
20683	26162381	381604
20684	29130417	208488
20685	20588010	375094
20686	40908680	236306
20687	24979661	216840
22013	24290044	832962
22609	23553667	500552
22615	22216185	460646
22616	16588359	306294
22617	16589703	472260
22618	16110470	483302
22619	18384446	624694
22620	17810437	608658
22622	24604293	900986
22623	26098407	755842
22624	22745278	620134
22626	27318164	816286
22627	28897086	843774
22628	20435301	623704
22629	22989371	944596
22630	19279047	763122
22631	22290527	950552
22632	19082922	825020
22633	23337622	850506
22634	28416654	999106
22636	27228843	1309810
22637	23380139	943890
22639	20509488	887192
22641	23415973	948994
22642	22998895	916324
22643	29750144	1152396
27158	24558165	568474
27160	29076998	770020
27161	29792230	592076
27162	28592472	609624
27163	27305736	610144
27165	22101309	543718
27169	19691648	521818
27170	35302679	510778
27172	25479911	600028
27174	27505630	650672
27175	24929695	703832
27177	24170563	575328
27179	23406089	560146
27180	23253902	726694
27181	24031499	497902
27182	28502746	770566
2876_A	14057011	94038
2876_AA	7581144	36248
2876_AB	16024219	97278
2876_AC	13684857	108232
2876_AD	13125345	79336
2876_AE	16247166	116056
2876_AF	16557889	97742
2876_AK	13597478	74868
2876_AL	12886606	79330
2876_AM	11349393	63668
2876_AN	14897304	137944
2876_AO	29357716	214276
2876_AP	13236972	50508
2876_AR	17320635	135792
2876_AS	14547288	102164
2876_AT	16432346	149480
2876_AU	13135376	99084
2876_AV	14562385	144120
2876_AW	14683122	95710
2876_B	12448900	62236
2876_C	13916187	74238
2876_D	14338413	73002
2876_E	7703174	63286
2876_F	7904967	66502
2876_G	8270614	77832
2876_H	13958948	125274
2876_I	14004021	98638
2876_J	12990177	86476
2876_K	13768046	104196
2876_L	13013827	82416
2876_M	12112689	75816
2876_N	14800117	85208
2876_O	8268080	68080
2876_P	7922816	71238
2876_Q	12844063	106986
2876_R	13520591	87078
2876_S	13137969	82162
2876_T	17512871	141166
2876_U	15421769	121986
2876_V	13242011	85630
2876_W	14710096	81876
2876_X	9351156	102316
2876_Y	13241085	82736
2876_Z	15681517	93142
3536_AE	8275007	30332
3536_W	7850825	52850
3536_X	11304146	185256
3541_AB	10537794	27524
3541_AF	15797441	134218
3541_F	12507232	32496
3541_H	16467455	83912
3541_L	7234920	16248
3541_N	9023112	38068
3541_T	9706748	34584
3541_Y	9542229	20286
35516	22968052	956550
35517	22374780	586132
35518	20782265	779142
35519	22869895	1111384
3619_P	10038802	19360
3968_A	11164633	125486
3968_AA	11227018	127060
3968_AB	11063239	114434
3968_AC	11247661	92942
3968_AD	10987575	120310
3968_AE	10457090	79784
3968_AF	11008256	80176
3968_AG	10895148	126902
3968_AH	11570858	133992
3968_AI	11608831	133946
3968_AJ	10871361	147330
3968_AK	11251268	147886
3968_AL	9335472	164136
3968_AM	11537847	143608
3968_AN	8468346	90070
3968_AO	10751997	144592
3968_AP	11310984	139152
3968_AQ	10983785	112852
3968_AR	11397935	179936
3968_B	10511073	140848
3968_C	10804832	143150
3968_E	10277802	104830
3968_F	11374893	160730
3968_G	9467521	115408
3968_H	10661217	107310
3968_I	10692761	140440
3968_J	9952899	121248
3968_K	10707349	144804
3968_L	10709156	112406
3968_M	11206942	107320
3968_N	11344350	155906
3968_O	10857848	102598
3968_P	10344420	126166
3968_Q	11151792	172806
3968_R	11234664	131044
3968_S	10381582	91908
3968_T	11530717	121092
3968_U	10786880	113012
3968_V	11862251	185376
3968_W	10506082	91968
3968_X	11094992	134140
3968_Y	11471468	108768
3968_Z	10938206	129724
4073_A	9366963	20306
4073_B	9267791	41830
4073_C	9859563	37834
4073_D	8579625	43912
4073_E	9331416	43908
4073_I	10288783	44258
4073_J	11358222	32926
4073_K	10699040	49456
4073_M	22195073	116332
